QA_id,eval,importance
99,0,3
248,1,0
133,-1,1
345,2,0
802,-2,2
269,-3,1
665,-2,1
288,2,3
241,-2,3
137,3,3
647,-1,2
729,-3,2
63,-1,2
115,-2,2
538,0,2
309,-3,2
482,2,3
189,2,2
249,1,1
708,-2,2
275,0,3
604,0,3
504,2,3
793,-3,2
116,1,0
436,0,2
166,-1,1
354,3,1
664,-2,3
204,-1,1
203,2,2
662,2,2
473,1,2
494,-2,1
543,-2,2
274,-2,3
255,3,1
808,-2,2
258,1,1
459,0,2
410,-3,3
782,-1,1
426,0,2
339,-3,1
785,-3,3
278,-2,1
140,-1,1
670,2,3
193,3,1
724,1,1
731,-2,0
229,-2,3
122,0,1
376,-3,3
544,3,2
407,-1,1
690,-1,2
401,-3,3
462,-2,3
147,3,0
484,-1,0
260,-1,2
117,-1,1
588,-2,3
145,3,2
718,-2,1
675,-3,3
469,2,0
111,0,3
70,1,3
81,2,0
669,0,2
438,2,3
663,3,1
695,1,1
761,3,1
158,-2,0
437,-1,0
817,3,3
762,3,1
740,-2,2
691,-1,3
252,-2,1
458,-1,3
334,3,2
441,1,0
198,-3,3
317,0,1
701,-2,1
280,2,1
442,3,2
130,3,1
368,-2,1
365,1,3
118,-1,2
696,2,1
82,2,0
304,-3,0
188,0,2
78,-2,0
623,2,1
66,2,1
425,0,0
639,-1,3
797,-1,2
497,0,2
125,3,2
541,3,1
476,1,1
149,0,1
518,-1,0
783,2,0
423,1,2
786,1,2
256,0,0
84,-2,0
408,-3,0
156,-3,0
273,-1,0
55,0,3
449,2,2
91,-2,0
262,-3,0
79,-3,2
141,-2,1
120,-2,3
215,1,2
223,-1,2
432,-3,0
390,0,1
550,1,1
327,2,3
121,0,0
440,0,1
242,3,0
306,1,0
609,3,0
600,2,1
257,-3,1
422,2,1
580,3,3
507,3,1
824,1,1
311,-2,2
780,3,0
772,0,2
468,-2,0
552,1,3
370,-1,1
226,-2,0
299,2,2
265,-3,2
336,0,2
315,3,0
723,-2,3
687,1,3
344,-3,3
418,1,1
554,-3,2
58,-1,1
238,-3,2
706,-2,3
129,1,3
764,3,3
699,1,2
519,0,2
606,-2,3
768,2,1
245,-3,1
64,-2,3
760,3,1
169,2,1
352,2,3
142,3,1
530,2,2
460,-1,2
293,3,0
596,-3,2
499,-3,0
514,3,3
239,-2,0
123,-1,3
333,-3,0
101,-1,1
650,1,2
387,2,2
413,-3,2
480,-1,1
578,-2,1
737,3,2
556,-3,2
613,3,1
132,-2,0
652,2,2
186,1,3
430,3,0
549,-3,1
805,-1,0
542,-3,2
236,3,0
286,3,0
711,-3,0
654,-2,1
65,3,3
619,-2,3
148,1,1
190,1,1
758,-3,3
648,1,1
673,2,3
492,-3,3
732,-1,2
709,0,2
155,0,0
674,-3,3
360,2,2
788,2,3
452,3,1
453,-1,0
773,1,3
182,1,3
683,-3,2
638,2,1
733,0,3
357,3,3
167,-1,2
164,3,0
632,2,1
131,-3,3
703,-3,1
100,-3,2
312,2,1
620,0,1
159,2,3
93,-3,1
450,3,0
144,-3,0
564,-3,2
593,1,3
607,1,1
734,-1,2
179,-1,1
590,0,2
464,0,2
185,0,0
755,-3,2
636,3,3
520,-2,0
165,2,2
355,2,1
495,-3,2
747,-1,2
320,2,2
427,-1,0
394,-3,2
143,0,3
314,2,1
522,-1,2
524,-1,3
510,3,2
110,1,3
640,0,1
348,-3,1
624,0,3
757,0,0
579,1,1
424,3,3
399,-1,3
389,1,1
713,1,1
178,2,3
676,-3,0
526,3,1
199,0,2
97,-1,2
496,1,0
485,2,3
595,3,2
611,0,0
781,3,1
383,-3,0
209,2,2
612,3,2
561,2,3
626,0,2
217,1,3
767,0,2
474,2,3
277,-1,2
479,2,1
810,-1,2
478,-3,3
214,3,0
752,-3,3
54,-1,0
749,-3,1
483,-1,0
290,-1,1
397,-1,3
784,0,3
396,0,0
151,-2,2
589,0,2
813,2,0
465,-2,3
358,3,0
219,3,3
569,3,0
72,0,0
308,-2,1
634,1,2
487,1,1
292,3,1
434,1,3
228,3,1
433,-3,0
807,1,2
525,0,3
754,1,1
744,1,2
685,1,0
602,-1,1
815,-1,2
88,2,3
730,-1,1
92,1,2
282,-2,0
87,-2,0
106,2,2
61,-3,3
202,3,0
587,-1,3
261,2,1
591,-1,1
326,2,1
668,0,3
291,3,3
272,3,3
688,-2,1
351,2,2
751,3,3
811,-2,2
603,-3,0
672,2,0
181,-2,3
59,-3,0
231,-3,2
95,-1,3
246,-2,2
350,1,3
555,-1,2
717,2,1
573,2,1
343,-1,2
779,2,0
244,-2,3
461,-1,3
614,2,3
173,2,1
